node,Floor,Archi_Node,Fx,Fy,Fz,Mx,My,Mz
16,2F,B'-3,0.0,-6.74388,0.0,2585.1539999999995,0.0,-1055.2923333333333
20,2F,B'-4,0.0,-6.74388,0.0,-2585.1539999999995,0.0,-1055.2923333333333
80,2F,B-2,0.0,-15.5628,0.0,5471.296875,0.0,-6614.19
14,2F,B-3,0.0,-15.5628,0.0,-5471.296875,0.0,-6614.19
92,2F,B1-4,0.0,-12.6988125,0.0,0.0,0.0,-15873.515625
23,2F,B1-5,0.0,-12.6988125,0.0,0.0,0.0,-15873.515625
40,2F,C-2,0.0,-35.66475,0.0,10942.59375,0.0,-6619.593750000001
41,2F,C-3,0.0,-58.49019,0.0,-5556.135750000001,0.0,-17357.44541666667
42,2F,C-4,0.0,-22.82544,0.0,-5386.458,0.0,-10737.851666666667
83,2F,D-2,0.0,-20.10195,0.0,5471.296875,0.0,13233.78375
59,2F,D-3,0.0,-36.18351,0.0,-2669.992875,0.0,25026.927750000003
85,2F,D-4,0.0,-28.7803725,0.0,-2801.304,0.0,27666.659625
61,2F,D-5,0.0,-12.6988125,0.0,0.0,0.0,15873.515625
20,3F,B'-4,0.0,-4.06362,0.0,779.2132447916666,0.0,-829.6557500000002
21,3F,B'-5,0.0,-4.06362,0.0,-779.2132447916666,0.0,-829.6557500000002
80,3F,B-2,0.0,-15.5628,0.0,5471.296875,0.0,-6614.19
14,3F,B-3,0.0,-19.71288,0.0,-5471.296875,0.0,-9934.253999999999
107,3F,B-3',0.0,-4.15008,0.0,0.0,0.0,-3320.064
40,3F,C-2,0.0,-35.66475,0.0,10942.59375,0.0,-6619.593750000001
41,3F,C-3,0.0,-55.89639,0.0,-8141.28975,0.0,-15092.673750000002
102,3F,C-3',0.0,-4.15008,0.0,0.0,0.0,3320.064
42,3F,C-4,0.0,-30.642865,0.0,-2022.0907552083336,0.0,-21811.096083333334
43,3F,C-5,0.0,-14.561305,0.0,-779.2132447916666,0.0,-10017.952083333334
83,3F,D-2,0.0,-20.10195,0.0,5471.296875,0.0,13233.78375
59,3F,D-3,0.0,-36.18351,0.0,-2669.992875,0.0,25026.927750000003
85,3F,D-4,0.0,-26.579245,0.0,-2801.304,0.0,22640.751833333336
61,3F,D-5,0.0,-10.497685,0.0,0.0,0.0,10847.607833333333
106,attic,B'-3',0.0,-4.23654,0.0,830.016,0.0,-882.6125000000001
20,attic,B'-4,0.0,-8.30016,0.0,-50.80275520833334,0.0,-1712.2682500000003
21,attic,B'-5,0.0,-4.06362,0.0,-779.2132447916666,0.0,-829.6557500000002
80,attic,B-2,0.0,-12.19086,0.0,5323.3422,0.0,-3191.657450666667
14,attic,B-3,0.0,-16.34094,0.0,-5323.3422,0.0,-6511.721450666667
107,attic,B-3',0.0,-4.15008,0.0,0.0,0.0,-3320.064
88,attic,B1-2,0.0,-15.562800000000001,0.0,7852.297200000001,0.0,3191.657450666667
75,attic,B1-3,0.0,-15.562800000000001,0.0,-7852.297200000001,0.0,3191.657450666667
40,attic,C-2,0.0,-12.5475075,0.0,7246.72595625,0.0,-1360.8556027916666
41,attic,C-3,0.0,-32.7791475,0.0,-4445.42195625,0.0,-9833.935602791667
102,attic,C-3',0.0,-8.38662,0.0,830.016,0.0,4202.6765
42,attic,C-4,0.0,-34.879405000000006,0.0,-2852.1067552083337,0.0,-20928.483583333335
43,attic,C-5,0.0,-14.561305,0.0,-779.2132447916666,0.0,-10017.952083333334
89,attic,C1-2,0.0,-20.10195,0.0,9844.0654125,0.0,-937.1042752500002
76,attic,C1-3,0.0,-20.10195,0.0,-9844.0654125,0.0,-937.1042752500002
