Member_ID,Node_I,Node_J,fx'i,fy'i,fz'i,mx'i,my'i,mz'i,fx'j,fy'j,fz'j,mx'j,my'j,mz'j
1,1,4,124.91293160242489,-0.04096511599943651,0.05367295269744066,66.6647922825339,3672.425850526469,5467.91234954276,-105.42493160242489,0.04096511599943651,-0.05367295269744066,-66.6647922825339,-512.9352795726304,-1842.960023541914
2,2,5,173.3983401066274,-2.161336545740758,-0.8960985117666862,6.655371563785902,721.5881260568985,647.0888316594705,-150.40634010662737,2.161336545740758,0.8960985117666862,-6.655371563785902,-485.840358406871,-202.69365027060573
3,3,6,111.58357260511158,-2.290685883914527,-0.7039918421143296,-39.206843514104754,-580.1989627679318,-1214.4831718278651,-92.91157260511159,2.290685883914527,0.7039918421143296,39.206843514104754,-495.4132740605746,1464.8543459560735
4,24,28,256.59410746883515,0.44848976541690627,0.8759160548533766,-31.605034508264314,2054.3920146628266,5001.872234576871,-231.15410746883515,-0.44848976541690627,-0.8759160548533766,31.605034508264314,-128.26609694289073,-1865.1375864515119
5,25,29,368.70501802246116,-2.011804599581723,-0.3091859716666161,51.4571766470252,-2591.2219044839762,-259.53287720476146,-340.6250180224612,2.011804599581723,0.3091859716666161,-51.4571766470252,-184.99913801610023,-294.1740221678242
6,26,30,426.2440469037986,-6.95630940760433,-2.1338812032695245,869.4046774529139,3629.462821854371,-16579.737314600323,-403.1560469037986,6.95630940760433,2.1338812032695245,-869.4046774529139,-428.6410169500805,2458.8732031938234
7,27,31,122.79644161550183,-31.028792091997165,-2.396925833331288,307.2121673517138,3829.6608722043247,-22899.02388930538,-86.29244161550184,31.028792091997165,2.396925833331288,-307.2121673517138,-234.2721222073933,4596.6357513096145
8,46,48,136.2832686473971,3.363610005094089,0.14446697353509588,246.93025257853506,3117.2115518354926,747.4198494175935,-115.45126864739713,-3.363610005094089,-0.14446697353509588,-246.93025257853506,-93.91201213813639,-1852.4048417764607
9,47,49,366.7735312765184,4.353210562570874,8.117201038395184,77.64347234840022,-14859.053632809411,643.570522408535,-340.66153127651836,-4.353210562570874,-8.117201038395184,-77.64347234840022,-556.747924783369,-264.1546785522218
10,62,64,21.381308850700222,2.646523571679752,1.3267644753809886,34.190000691525306,-1927.5940131190805,4138.384931278557,-10.82130885070022,-2.646523571679752,-1.3267644753809886,-34.190000691525306,-62.552699952401326,-168.59957375892873
11,63,65,139.75273855609376,33.678059741277266,-4.077938132194632,-329.8576781816572,6023.243054496105,15015.025435959364,-103.24873855609377,-33.678059741277266,4.077938132194632,329.8576781816572,93.66414379584239,7261.264175956528
12,1,2,0.0,12.528,0.0,3686.4,0.0,3240.0,0.0,16.032,0.0,3686.4,0.0,-1108.4
13,2,3,0.0,16.032,0.0,3686.4,0.0,-1108.4,0.0,11.712,0.0,3686.4,0.0,-2131.6
14,3,26,0.0,11.712,0.0,2131.6,0.0,3686.4,0.0,10.908,0.0,0.0,0.0,-3686.4
15,2,25,0.0,16.032,0.0,1108.4,0.0,3686.4,0.0,19.38,0.0,3240.0,0.0,2464.0
16,1,24,0.0,12.528,0.0,-3240.0,0.0,3686.4,0.0,18.48,0.0,-3240.0,0.0,2464.0
17,24,46,0.0,18.48,0.0,-3240.0,0.0,2464.0,0.0,13.872,0.0,-3240.0,0.0,-6150.4
18,25,24,0.0,19.38,0.0,-2464.0,0.0,3240.0,0.0,18.48,0.0,-2464.0,0.0,-3240.0
19,25,47,0.0,19.38,0.0,3240.0,0.0,2464.0,0.0,15.672,0.0,3240.0,0.0,-6150.4
20,46,47,0.0,13.872,0.0,-6150.4,0.0,3240.0,0.0,15.672,0.0,-6150.4,0.0,-3240.0
21,63,27,0.0,26.064,0.0,0.0,0.0,28240.8,0.0,26.064,0.0,0.0,0.0,-28240.8
22,4,7,112.3849316024249,-0.04096511599838326,0.0536729526947457,66.66479228253388,512.9352795726306,1842.960023541913,-74.45413160242491,0.04096511599838326,-0.0536729526947457,-66.66479228253388,8042.710032612607,8338.831140062772
23,5,8,157.36634010662735,-2.1613365457406433,-0.8960985117724669,6.6553715637859,485.8403584068717,202.69365027060667,-121.66754010662734,2.1613365457406433,0.8960985117724669,-6.6553715637859,-4466.8515492667175,918.0203670815272
24,6,9,99.87157260511158,-2.2906858839146036,-0.7039918421301274,-39.20684351410475,495.4132740605754,-1464.8543459560733,-84.05557260511159,2.2906858839146036,0.7039918421301274,39.20684351410475,-585.4369318832053,-4403.734717396279
25,28,32,238.1141074688352,0.4484897654120523,0.8759160548600216,-31.60503450826431,128.26609694289073,1865.137586451512,-174.12935746883517,-0.4484897654120523,-0.8759160548600216,31.60503450826431,11514.171093963047,8519.076483243432
26,29,33,349.32501802246117,-2.0118045995830283,-0.3091859716683227,51.4571766470252,184.99913801610012,294.17402216782466,-259.3828280224612,2.0118045995830283,0.3091859716683227,-51.4571766470252,-5952.895570177965,16297.838059041393
27,30,34,415.33604690379866,-6.956309407604568,-2.133881203262951,869.4046774529138,428.6410169500815,-2458.87320319382,-360.89060690379864,6.956309407604568,2.133881203262951,-869.4046774529138,-874.8435274875228,-1096.572408859418
28,31,35,96.73244161550183,-31.02879209199712,-2.396925833289051,307.2121673517138,234.27212220739398,-4596.635751309615,-73.19444161550183,31.02879209199712,2.396925833289051,-307.2121673517138,5833.2127943308515,-78887.12131548201
29,48,50,122.41126864739711,3.363610005099214,0.1444669735340447,246.930252578535,93.91201213813633,1852.4048417764607,-78.59731864739712,-3.363610005099214,-0.1444669735340447,-246.930252578535,8198.430639613134,-11482.119576988738
30,49,51,351.1015312765183,4.353210562576423,8.117201038398942,77.64347234840022,556.7479247833708,264.1546785522187,-281.4260212765183,-4.353210562576423,-8.117201038398942,-77.64347234840022,-27342.123811140304,-18177.17179708059
31,64,66,17.78130885070022,2.6465235716787823,1.3267644753812444,34.1900006915253,62.552699952400644,168.59957375892918,-3.141308850700222,-2.6465235716787823,-1.3267644753812444,-34.1900006915253,1849.830321441992,6866.318784109538
32,65,67,113.68873855609377,33.67805974127721,-4.077938132202066,-329.85767818165715,-93.66414379584148,-7261.264175956545,-93.28873855609376,-33.67805974127721,4.077938132202066,329.85767818165715,6159.684727181833,103527.63742566045
33,7,32,-2.9808766729510694,29.603026993770495,0.3577847782091403,-8980.516218505985,-884.5273026200373,6867.541210798376,2.9808766729510694,58.392523006229496,-0.3577847782091403,-13913.374406494015,-832.8396327838358,5951.3321093000195
34,32,50,-5.0623535213721595,56.38243988127532,0.046315269898007765,-13586.062448402829,-86.8664368297585,6346.349746054714,5.0623535213721595,37.49626011872468,-0.046315269898007765,-9307.828176597171,-200.28823653788967,-20629.26248214773
35,7,8,-2.356306969645061,29.542196794701752,-0.2517439108863041,10263.041799591125,549.5898924094904,3331.9520949454327,2.356306969645061,30.167403205298243,0.2517439108863041,7426.138200408875,583.2577065788781,-7629.066518787542
36,8,9,-2.017275930519702,28.953107744430817,-0.5297024763683612,6920.6403960415155,950.8456686850186,-5632.916750721979,2.017275930519702,8.64169225556918,0.5297024763683612,1242.3496039584834,982.5683700595001,-2296.1568571055327
37,33,32,-0.47880499381929553,84.01255597838762,-0.21749852422437116,-22471.793608070806,426.9237405768686,10527.72577446686,0.47880499381929553,54.25438402161237,0.21749852422437116,-9038.045561929193,551.8196184328015,-5579.136871722536
38,33,51,-5.46476812252379,81.30843406100844,0.052263108269554936,4628.719441934458,-191.9166815033318,21462.56415816614,5.46476812252379,59.16926593899155,-0.052263108269554936,5281.309183065543,-132.11458976790883,-29162.93330991378
39,51,50,2.2220040702964496,67.07088168404212,-0.16715264352847262,30211.616919631673,432.97752311665647,26048.66902459067,-2.2220040702964496,29.01857831595788,0.16715264352847262,19709.894580368324,319.20937276147026,3744.6995535988626
40,51,66,2.9781761230157926,55.96916124840056,0.920398811627152,6146.927800022109,-926.6854208258706,-33610.579758117114,-2.9781761230157926,10.946348751599437,-0.920398811627152,-8661.43492502211,-914.1122024284336,-4099.445495081767
41,34,33,4.292964598413974,41.39110186417464,-0.19721187967677994,-16613.251243496066,292.20728164680673,4334.256032443458,-4.292964598413974,82.11652813582535,0.19721187967677994,-22430.845846503933,427.61607917343986,5773.403521793973
42,34,35,0.16244046301900994,44.34761194775402,-1.7692205353637611,21244.307282345297,1964.909775732186,-5559.926237309261,-0.16244046301900994,11.015828052245983,1.7692205353637611,1873.284387654705,2192.7584823726525,2934.9723145312023
43,8,16,-3.310510579445804,35.70540691815696,1.90471219927378,5373.703346128374,-2342.693900534825,13944.307905087353,3.310510579445804,7.889273081843035,-1.90471219927378,-3510.760471128374,-1847.6729378674913,10133.309647857972
44,16,33,-4.496076634559511,6.58121158723295,0.385875466907986,-4022.6162732051444,-202.69927683263063,-8763.868792141031,4.496076634559511,89.51685841276705,-0.385875466907986,5970.398023205145,-800.5769371281335,11038.468671946699
45,9,17,-0.41251033639497336,13.178059920921584,1.368833254881595,4176.4975654977525,-1914.863139407029,6011.989031198661,0.41251033639497336,9.285820079078416,-1.368833254881595,2671.856434502248,-1096.570021332478,4822.235127828823
46,16,17,1.5188367323762293,15.241275330960367,-1.185566055111549,1355.5438102830599,2050.37221470012,1900.1312556664789,-1.5188367323762293,13.222484669039634,1.185566055111549,558.2408557169402,2276.9438864570348,-493.43829766114413
47,66,67,2.247163287029883,7.554960099100896,-0.3316525513473936,-4046.873289027771,948.302203119959,1008.7347535358986,-2.247163287029883,10.085039900899105,0.3316525513473936,2006.873289027771,1041.613104964402,-1758.974158930524
48,35,44,34.686539831600385,66.95198387627997,0.125390254516768,4517.077692470552,-748.5144024401842,106084.52677192783,-34.686539831600385,-34.35398387627997,-0.125390254516768,-3633.477692470552,194.28947747606958,132721.0219612296
49,44,53,31.02515801737991,-11.521931439305035,1.26410943709109,9301.620604012387,-1159.4895933531789,-138867.3132668606,-31.02515801737991,54.47874393930503,-1.26410943709109,-8197.120604012387,-1090.6252046689606,62337.01967489741
50,53,67,33.346407189960246,-69.70688615519948,1.8307748452141146,-9056.210568251308,-2290.078907282168,-94975.34222571085,-33.346407189960246,103.12369865519949,-1.8307748452141146,15920.710568251308,-1371.470783146059,-108334.51071468822
51,51,52,3.8513552848179984,98.85461371170459,0.021936303255718603,-31538.29592808158,327.32928207078055,60445.08190939011,-3.8513552848179984,8.793268788295407,-0.021936303255718603,-32816.09145191841,-407.3967889541535,76557.84976333166
52,52,53,0.5666654080947353,9.727417784118245,-2.3212491725802717,-50872.92655081324,2074.231443612511,-76913.11641005846,-0.5666654080947353,62.14176721588176,2.3212491725802717,1473.4112908132374,3380.7041119511277,-19462.331172263715
53,17,22,0.7730557187175009,4.707455251903715,2.8876699871389766,6268.21326783661,-1180.3738651245394,-4277.891317545761,-0.7730557187175009,26.351237248096286,-2.8876699871389766,-2435.0592678366097,-2573.59711815613,9132.147108020583
