Node,Rxn_Fx (kN),Rxn_Fy (kN),Rxn_Fz (kN),Rxn_Mx (kN-mm),Rxn_My (kN-mm),Rxn_Mz (kN-mm)
1,0.040970216,124.9137659,0.053676787,-3672.422815,66.66627194,5467.902662
2,2.161353291,173.3985482,-0.896094463,-721.5802515,6.657306826,647.0489052
3,2.290689562,111.5844068,-0.703987096,580.2100568,-39.20531044,-1214.506644
24,-0.448483246,256.5947019,0.875920499,-2054.3852,-31.60256909,5001.860225
25,2.011804877,368.7045675,-0.309172277,2591.252298,51.45768128,-259.5535288
26,6.956281024,426.2452216,-2.133874867,-3629.440122,869.4017616,-16579.74536
27,31.02869115,122.7965659,-2.396907813,-3829.628782,307.2134996,-22898.89559
46,-3.363605782,136.2829187,0.144466147,-3117.221256,246.9330709,747.4047463
47,-4.353194418,366.7734708,8.117146656,14858.98429,77.64816884,643.5244813
62,-2.646505324,21.38126142,1.326754561,1927.578131,34.1897522,4138.348881
63,-33.6780016,139.75256,-4.077928159,-6023.252917,-329.8564338,15014.98172
